Opt,a,b,c,n,Total Fetches,Total Misses,Miss Rate,Compulsory miss, Conflict miss, Capacity miss
Yes,4,64,1,100,4030000,260053,0.06452928039702233,3751,0,256302
Yes,4,64,1,100,4030000,1134950,0.2816253101736973,3751,0,1131199
Yes,4,64,2,100,4030000,139207,0.034542679900744416,3751,7855,127601
Yes,4,64,2,100,4030000,1134950,0.2816253101736973,3751,0,1131199
Yes,4,64,4,100,4030000,131352,0.03259354838709677,3751,0,127601
Yes,4,64,4,100,4030000,1134950,0.2816253101736973,3751,0,1131199
Yes,4,64,8,100,4030000,131352,0.03259354838709677,3751,0,127601
Yes,4,64,8,100,4030000,254887,0.06324739454094293,3751,123486,127650
Yes,4,64,16,100,4030000,131352,0.03259354838709677,3751,0,127601
Yes,4,64,16,100,4030000,131396,0.03260446650124069,3751,1,127644
Yes,4,64,32,100,4030000,131352,0.03259354838709677,3751,0,127601
Yes,4,64,32,100,4030000,131353,0.03259379652605459,3751,0,127602
Yes,4,64,64,100,4030000,121629,0.03018089330024814,3751,0,117878
Yes,4,64,64,100,4030000,121294,0.030097766749379654,3751,2,117541
Yes,4,64,128,100,4030000,6991,0.0017347394540942929,3751,0,3240
Yes,4,64,128,100,4030000,6786,0.0016838709677419355,3751,6,3029
Yes,4,64,256,100,4030000,3751,0.0009307692307692308,3751,0,0
Yes,4,64,256,100,4030000,3751,0.0009307692307692308,3751,0,0
