a,b,c,n,Total Fetches,Total Misses,Miss Rate,Compulsory miss, Conflict miss, Capacity miss
Yes,2,64,8,4,304,7,0.023026315789473683,7,0,0
No,2,64,8,4,304,7,0.023026315789473683,7,0,0
Yes,2,64,8,8,2240,25,0.011160714285714286,25,0,0
No,2,64,8,8,2240,25,0.011160714285714286,25,0,0
Yes,2,64,8,16,17152,97,0.005655317164179104,97,0,0
No,2,64,8,16,17152,97,0.005655317164179104,97,0,0
Yes,2,64,8,32,134144,5339,0.03980051288167939,385,3990,964
No,2,64,8,32,134144,8213,0.06122525047709924,385,6944,884
Yes,2,64,8,64,1060864,57280,0.05399372586872587,1537,21886,33857
No,2,64,8,64,1060864,287502,0.27100740528474904,1537,252047,33918
Yes,2,64,8,128,4030000,131352,0.03259354838709677,3751,0,127601
No,2,64,8,128,8437760,2228894,0.2641570748634709,6145,102430,2120319
